date,product,region,quantity,price,sales
2022-01-01,Monitor,Central,3,1490.7884894416698,4472.36546832501
2022-01-01,Keyboard,Central,3,947.0822304218232,2841.2466912654695
2022-01-01,Tablet,East,4,734.0463611641414,2936.185444656566
2022-01-01,Tablet,Central,2,1471.797667306967,2943.595334613934
2022-01-01,Phone,West,1,1273.2148682926613,1273.2148682926613
2022-01-01,Phone,Central,4,143.81860757868992,575.2744303147597
2022-01-01,Tablet,East,3,365.0383352388795,1095.1150057166385
2022-01-01,Monitor,West,4,542.2655468175781,2169.0621872703123
2022-01-01,Tablet,West,3,1968.1386830328975,5904.416049098692
2022-01-01,Laptop,East,1,1254.335218612733,1254.335218612733
2022-01-01,Keyboard,North,3,125.2034262037464,375.6102786112392
2022-01-02,Monitor,South,2,678.7661614294043,1357.5323228588086
2022-01-02,Keyboard,South,4,557.9483854494222,2231.7935417976887
2022-01-02,Monitor,West,1,1683.0703322987122,1683.0703322987122
2022-01-02,Tablet,North,4,446.2485667973184,1784.9942671892736
2022-01-02,Monitor,South,2,1088.1292402378406,2176.258480475681
2022-01-02,Phone,West,2,159.4952556655613,318.9905113311226
2022-01-02,Phone,South,4,1885.0479889719593,7540.191955887837
2022-01-02,Monitor,West,1,1926.2268462637633,1926.2268462637633
2022-01-02,Keyboard,Central,2,1125.4150515392516,2250.8301030785033
2022-01-02,Phone,North,4,1253.3650706047008,5013.460282418803
2022-01-02,Keyboard,North,1,1624.1742634326754,1624.1742634326754
2022-01-02,Laptop,North,3,904.4628133421023,2713.388440026307
2022-01-02,Laptop,West,4,110.49202253484455,441.9680901393782
2022-01-03,Laptop,East,3,1565.413658703297,4696.240976109891
2022-01-03,Keyboard,South,3,1337.0463484536945,4011.1390453610834
2022-01-03,Monitor,North,4,953.9562808625865,3815.825123450346
2022-01-03,Laptop,Central,3,1223.4657966446816,3670.397389934045
2022-01-03,Tablet,East,1,827.5610620322007,827.5610620322007
2022-01-03,Tablet,North,1,1166.4266753820427,1166.4266753820427
2022-01-03,Tablet,North,3,912.3279348812443,2736.983804643733
2022-01-04,Monitor,Central,3,159.71545280479506,479.1463584143852
2022-01-04,Laptop,West,1,1066.284313212935,1066.284313212935
2022-01-04,Keyboard,Central,3,1535.5471632317924,4606.6414896953775
2022-01-04,Monitor,Central,4,1237.8443863282184,4951.377545312874
2022-01-04,Tablet,West,2,1286.2726914542072,2572.5453829084145
2022-01-04,Laptop,Central,2,967.4156839175295,1934.831367835059
2022-01-04,Monitor,West,4,1795.8620971309579,7183.448388523831
2022-01-04,Tablet,South,3,1802.573469854637,5407.720409563912
2022-01-04,Laptop,North,1,1330.6112290285885,1330.6112290285885
2022-01-04,Laptop,West,1,1735.3881081870525,1735.3881081870525
2022-01-04,Tablet,North,2,522.0048398943875,1044.009679788775
2022-01-04,Tablet,South,4,563.838492270771,2255.353969083084
2022-01-04,Tablet,North,4,790.8962445206586,3163.5849780826343
2022-01-04,Laptop,South,4,569.0645193933423,2276.258077573369
2022-01-05,Phone,East,1,381.3651669114598,381.3651669114598
2022-01-05,Laptop,East,1,1955.5684160820406,1955.5684160820406
2022-01-05,Monitor,Central,4,1825.705183336642,7302.820733346568
2022-01-05,Tablet,South,1,1029.9602445273697,1029.9602445273697
2022-01-05,Monitor,East,4,551.5113335855594,2206.0453343422378
2022-01-05,Keyboard,West,2,1303.7064504456998,2607.4129008913997
2022-01-05,Tablet,North,1,709.482123446298,709.482123446298
2022-01-05,Keyboard,East,4,719.321919883581,2877.287679534324
2022-01-05,Monitor,East,2,1072.9768107686339,2145.9536215372677
2022-01-05,Tablet,West,4,282.73544707369945,1130.9417882947978
2022-01-05,Laptop,North,4,834.7971579710211,3339.1886318840843
2022-01-06,Laptop,East,4,1496.9106265574671,5987.642506229869
2022-01-06,Phone,South,3,534.2450414148693,1602.735124244608
2022-01-06,Phone,North,4,1106.3360988764123,4425.344395505649
2022-01-06,Phone,North,4,1934.296767448708,7737.187069794832
2022-01-06,Keyboard,Central,4,1302.892768819209,5211.571075276836
2022-01-06,Laptop,North,3,1430.6798769482655,4292.039630844796
2022-01-07,Monitor,North,4,1716.764052658274,6867.056210633096
2022-01-07,Laptop,West,2,1371.0776839570344,2742.155367914069
2022-01-07,Tablet,North,3,1949.961289835103,5849.883869505309
2022-01-07,Phone,South,2,1414.6008756161173,2829.2017512322345
2022-01-07,Keyboard,North,4,1453.1405205603182,5812.562082241273
2022-01-07,Laptop,Central,4,1518.333669724246,6073.334678896984
2022-01-07,Tablet,North,4,1179.786346337396,4719.145385349584
2022-01-08,Keyboard,East,2,1821.5876966652527,3643.1753933305054
2022-01-08,Tablet,South,1,1055.010476899865,1055.010476899865
2022-01-08,Monitor,North,1,537.352009658955,537.352009658955
2022-01-08,Tablet,West,3,1560.252627181987,4680.757881545961
2022-01-08,Laptop,West,4,992.8945765827916,3971.5783063311665
2022-01-08,Keyboard,East,4,129.36757140484812,517.4702856193925
2022-01-08,Keyboard,North,2,1936.6441561829722,3873.2883123659444
2022-01-09,Monitor,North,4,659.4528949322128,2637.811579728851
2022-01-09,Keyboard,North,4,1022.0317611249998,4088.127044499999
2022-01-09,Phone,North,2,1878.6940709054838,3757.3881418109677
2022-01-09,Phone,East,4,233.7906486141334,935.1625944565336
2022-01-09,Phone,South,3,1084.8263394910998,3254.479018473299
2022-01-09,Phone,South,1,1712.4726103568814,1712.4726103568814
2022-01-09,Laptop,East,2,783.0331873175348,1566.0663746350697
2022-01-10,Phone,East,2,1747.437405302197,3494.874810604394
2022-01-10,Keyboard,West,2,109.85123927057488,219.70247854114976
2022-01-10,Monitor,Central,4,1334.9314684777537,5339.725873911015
2022-01-10,Monitor,East,3,152.47186656003893,457.41559968011677
2022-01-10,Phone,South,4,1198.7322678927305,4794.929071570922
2022-01-10,Tablet,North,2,1131.0248059443957,2262.0496118887913
2022-01-10,Keyboard,South,2,157.9504748841939,315.9009497683878
2022-01-10,Monitor,South,2,676.2044778791234,1352.4089557582467
2022-01-10,Tablet,West,1,1092.2621941041284,1092.2621941041284
2022-01-10,Keyboard,West,4,1933.9784777424625,7735.91391096985
2022-01-10,Monitor,Central,4,1109.5737999794812,4438.295199917925
2022-01-10,Tablet,West,4,1954.1189509788157,7816.475803915263
2022-01-10,Monitor,South,2,178.028281858964,356.056563717928
2022-01-10,Tablet,West,2,249.06712455030532,498.13424910061065
2022-01-11,Phone,Central,2,1688.3622289731911,3376.7244579463822
2022-01-11,Laptop,West,1,210.56783146604286,210.56783146604286
2022-01-11,Phone,North,3,575.4615065127311,1726.3845195381934
2022-01-11,Laptop,Central,1,1312.7141283023657,1312.7141283023657
2022-01-11,Keyboard,Central,2,1487.0747014674553,2974.1494029349105
2022-01-11,Tablet,West,2,776.348089437397,1552.696178874794
2022-01-11,Keyboard,North,1,320.5380169631409,320.5380169631409
2022-01-11,Keyboard,North,2,1725.3751096209137,3450.7502192418274
2022-01-11,Monitor,Central,4,132.60609348032546,530.4243739213018
2022-01-12,Keyboard,West,1,982.8802445852617,982.8802445852617
2022-01-12,Keyboard,South,2,1903.3768900236332,3806.7537800472664
2022-01-12,Monitor,South,4,811.7639677902953,3247.055871161181
2022-01-12,Phone,East,2,1051.9757794389925,2103.951558877985
2022-01-12,Keyboard,Central,4,1270.1172123408362,5080.468849363345
2022-01-12,Phone,North,4,1212.9736044195802,4851.894417678321
2022-01-12,Tablet,West,4,1386.6198505276652,5546.479402110661
2022-01-12,Tablet,West,1,970.6804919338816,970.6804919338816
2022-01-12,Tablet,East,1,1289.2853731929883,1289.2853731929883
2022-01-12,Laptop,North,4,1820.166219716521,7280.664878866084
2022-01-12,Monitor,Central,1,507.71932744591084,507.71932744591084
2022-01-12,Phone,Central,3,1274.6823802419965,3824.0471407259893
2022-01-12,Laptop,South,4,832.2535798345735,3329.014319338294
2022-01-12,Phone,South,2,1647.490116918978,3294.980233837956
2022-01-13,Monitor,South,1,761.839548461075,761.839548461075
2022-01-13,Tablet,Central,4,1496.634983227383,5986.539932909532
2022-01-13,Keyboard,Central,1,1141.146578171366,1141.146578171366
2022-01-13,Keyboard,North,4,1632.9860046078015,6531.944018431206
2022-01-13,Laptop,East,4,342.6104859026846,1370.4419436107385
2022-01-13,Laptop,Central,4,915.0886520125349,3660.3546080501396
2022-01-13,Keyboard,North,3,295.935350788272,887.806052364816
2022-01-13,Laptop,North,2,1043.4662622978476,2086.932524595695
2022-01-13,Laptop,Central,3,289.9712856075404,869.9138568226211
2022-01-13,Monitor,West,1,1820.2257551966009,1820.2257551966009
2022-01-13,Monitor,North,3,1917.921681740267,5753.765045220802
2022-01-13,Monitor,East,2,1300.4907031226187,2600.9814062452374
2022-01-13,Keyboard,Central,3,1244.637759212126,3733.9132776363776
2022-01-14,Tablet,Central,4,1897.7696314752116,7591.078525900846
2022-01-14,Laptop,Central,1,1039.398578934905,1039.398578934905
2022-01-14,Phone,Central,3,1786.6379472407696,5359.9138417223085
2022-01-14,Tablet,East,2,1940.4386935508562,3880.8773871017124
2022-01-14,Laptop,South,2,1274.614320300896,2549.228640601792
2022-01-14,Keyboard,Central,4,238.2497120919677,952.9988483678708
2022-01-14,Phone,East,2,378.5491612148484,757.0983224296969
2022-01-14,Keyboard,Central,2,1974.6151991522333,3949.2303983044667
2022-01-15,Monitor,North,3,1824.618042062238,5473.854126186714
2022-01-15,Keyboard,West,4,814.8932125087399,3259.5728500349596
2022-01-15,Tablet,Central,4,1160.9680744980296,4643.872297992119
2022-01-15,Tablet,South,2,727.4798051362872,1454.9596102725743
2022-01-15,Tablet,Central,1,869.8839648846925,869.8839648846925
2022-01-16,Monitor,West,4,323.29986887649926,1293.199475505997
2022-01-16,Laptop,North,3,1208.4006536846032,3625.2019610538096
2022-01-16,Laptop,West,1,257.493511217373,257.493511217373
2022-01-16,Laptop,Central,2,1624.0075731507948,3248.0151463015895
2022-01-16,Keyboard,Central,1,713.104137727409,713.104137727409
2022-01-16,Keyboard,East,4,240.21347299725784,960.8538919890314
2022-01-16,Tablet,East,4,243.3256394705616,973.3025578822464
2022-01-16,Laptop,North,2,659.5384989949167,1319.0769979898334
2022-01-16,Laptop,Central,2,1210.1971926538904,2420.394385307781
2022-01-16,Laptop,East,4,1921.5345740749078,7686.138296299631
2022-01-16,Monitor,West,1,627.0242476641521,627.0242476641521
2022-01-16,Monitor,West,2,837.7099295807571,1675.4198591615143
2022-01-16,Monitor,South,4,247.69581023347118,990.7832409338847
2022-01-16,Laptop,West,4,961.157608974779,3844.630435899116
2022-01-17,Laptop,North,1,1646.2105374432024,1646.2105374432024
2022-01-17,Monitor,Central,1,1830.7616505383007,1830.7616505383007
2022-01-17,Keyboard,South,3,1478.867065937884,4436.601197813652
2022-01-17,Laptop,South,2,1872.184118372625,3744.36823674525
2022-01-17,Phone,East,1,413.1850961603018,413.1850961603018
2022-01-18,Laptop,North,2,1975.8246456983945,3951.649291396789
2022-01-18,Laptop,East,1,1524.1987699545368,1524.1987699545368
2022-01-18,Laptop,East,3,1181.2547914149204,3543.7643742447613
2022-01-18,Laptop,South,1,888.1570544415638,888.1570544415638
2022-01-18,Laptop,Central,4,243.1822146696784,972.7288586787136
2022-01-18,Monitor,North,1,1999.4635792436482,1999.4635792436482
2022-01-18,Tablet,Central,3,1561.07608884297,4683.228266528909
2022-01-18,Keyboard,South,2,817.9160436239943,1635.8320872479885
2022-01-18,Keyboard,North,2,577.740635072417,1155.481270144834
2022-01-18,Keyboard,Central,4,534.4213304565792,2137.685321826317
2022-01-18,Laptop,South,4,610.477715848084,2441.910863392336
2022-01-18,Phone,South,2,1004.800323899127,2009.600647798254
2022-01-19,Tablet,South,4,1651.1328969048184,6604.5315876192735
2022-01-19,Monitor,Central,2,1765.6418450508556,3531.2836901017113
2022-01-19,Laptop,North,4,1012.0873373351027,4048.3493493404108
2022-01-19,Keyboard,Central,2,1437.7515593885248,2875.5031187770496
2022-01-19,Tablet,West,2,766.1163617325343,1532.2327234650686
2022-01-19,Phone,South,2,1154.1496562302289,2308.2993124604577
2022-01-19,Tablet,South,4,1140.147983108312,4560.591932433248
